岐	branch off	diverge	branch off
峠	mountain peak / mountain pass	mountain pass	mountain peak
崩	crumble	crumble	crumble
密	secrecy	close, secret	secrecy
蜜	honey		honey
嵐	storm	storm	storm
崎	promontory	promontory	promontory
入	enter	enter, put in	enter
込	crowded	move inward, emphatic verbal suffix	crowded
分	part	divide, part, minute	minute
貧	poverty	poor	poor
頒	partition	distribute widely	partition
公	public	public	public
松	pine tree	pine	pine
翁	venerable old man	old man	venerable old man
訟	sue	litigate	sue
谷	valley	valley	valley
浴	bathe	bathe	bathe
容	contain	appearance, contain	contain
溶	melt	dissolve, melt	melt
欲	longing	desire	longing
裕	abundant	abundant	abundant
鉛	lead	lead	lead
沿	run alongside	along	run alongside
賞	prize	prize	prize
党	party	party	group
堂	public chamber / hall	hall	public chamber
常	usual	normal, regular	normal
裳	skirt		
掌	manipulate	palm, take charge of	manipulate
皮	pelt	skin	skin
波	waves	wave	wave
婆	old woman	old woman	old woman
披	expose	open out	expose
破	rend	break	rend
被	incur	be subjected to	incur
残	remainder	remain, ruthless	remainder
殉	martyrdom	die a martyr	martyrdom
殊	particularly	special	particularly
殖	augment	multiply	augment
列	file	row	row
裂	split	split	split
烈	ardent	vehement	ardent
死	death	die	death
葬	interment	funeral	interment
瞬	wink	instant	wink
耳	ear	ear	ear
取	take	take	take
趣	gist	flavor, purpose	gist
最	utmost	most	most
撮	snapshot	photograph	snapshot
恥	shame	shame	shame
職	post	employment	employment
聖	holy	holy, saint	holy
敢	daring	boldly	daring
聴	listen	listen	listen
懐	pocket	bosom, long for	pocket
慢	ridicule	arrogant, sluggish	ridicule
漫	loose	rambling, comic	cartoon
買	buy	buy	buy
置	placement	place	put
罰	penalty	punishment	penalty
寧	rather	courteous	rather
濁	voiced	turbid	voiced
環	ring	ring, surround	ring
還	send back	return	send back
夫	husband	husband, man laborer	husband
扶	aid	lend support to	aid
渓	mountain stream	ravine	mountain stream
規	standard	regulation	rule
替	exchange	replace	exchange
賛	approve	approve of, praise	approve
潜	submerge	submerge, lurk	submerge
失	lose	lose, slip	lose
鉄	iron	iron	iron
迭	transfer / alternate	alternate	transfer
臣	retainer	retainer	retainer
姫	princess	daughter of noble birth	princess
蔵	storehouse	store	warehouse
臓	entrails	internal organ	entrails
賢	intelligent	wise	intelligent
堅	strict	firm	strict
臨	look to	be present at	look to
覧	perusal	look over	perusal
巨	gigantic	huge	gigantic
拒	repel	refuse	repel
力	power	power	power
男	male / man	man	male
労	labor	labor	labour
募	recruit	raise	recruit
劣	inferiority	inferior	inferiority
功	achievement	merit	achievement
勧	persuade	urge	persuade
努	toil	exert	toil
励	encourage	encourage	encourage
加	add	add	add
賀	congratulations	congratulate	congratulations
架	erect	lay across	rack
脇	armpit		aside
脅	threaten	threaten	threaten
協	co-	cooperate	cooperation
行	going	go, act, line	go
律	rhythm	law, rhythm	law
復	restore	return to	again
得	gain	acquire, gain	acquire
従	accompany	follow	obey
徒	junior	follower	junior
待	wait	wait	wait
往	journey	go on	outward journey
征	subjugate	conquer	subjugate
径	diameter	path, diameter	diameter
彼	he	third person pronoun	he
役	duty	service	service
徳	benevolence	virtue	benevolence
徹	penetrate	go through	penetrate
徴	indications	levy, symptom	indications
懲	penal	chastise	penal
微	delicate	slight	delicate
街	boulevard	city quarter	street
衡	equilibrium	balance	equilibrium
稿	draft	manuscript	draft
稼	earnings	work	earnings
程	extent	extent, established form	extent
税	tax	tax	tax
稚	immature	childish	immature
和	harmony	harmonious, peace, Japan	peace
移	shift	shift	shift
秒	second	second	second (part of time)
秋	autumn	autumn	autumn
愁	distress	melancholy	distress
私	private	private, I	me
秩	regularity	order	regularity
秘	secret	secret	secret
称	appellation	appellation	appellation
利	profit	advantage, profit	profit
梨	pear tree	pear	pear tree
穫	harvest	harvest	harvest
穂	ear (of a plant)	spike	ear
稲	rice plant	rice plant	rice plant
香	incense	sweet smell	incense
季	seasons	season	seasons
委	committee	commit	committee
秀	excel	excellent	excel
透	transparent	pass through, transparent	transparent
誘	entice	induce	entice
穀	cereals	cereal	cereals
菌	germ	bacteria	germ
米	rice	rice, America	rice
粉	flour	powder	flour
粘	sticky	sticky	sticky
粒	grains	grain	grains
粧	cosmetics	apply makeup	cosmetics
迷	astray	perplexed	astray
粋	chic	refined	chic
糧	provisions	food provisions	provisions
菊	chrysanthemum	chrysanthemum	chrysanthemum
奥	core	inner part	heart
数	number	number	number
楼	watchtower	tall building	watchtower
類	sort	kind	sort
漆	lacquer	lacquer	lacquer
様	Esq.	mode, formal title	formal title
求	request	seek	request
球	ball	ball	sphere
救	salvation	save	salvation
竹	bamboo	bamboo	bamboo
笑	laugh	laugh	laugh
笠	bamboo hat		
笹	bamboo grass	bamboo grass	
筋	muscle	muscle, threadlike structure	muscle
箱	box 	box	box
筆	writing brush	brush, writing	writing brush
筒	cylinder	tube	cylinder
等	etc.	equal, class	class
算	calculate	calculate	calculate
答	solution	answer	answer
策	scheme	scheme, measure	scheme
簿	register	record book	register
築	fabricate	construct	fabricate
人	person	human being	person
佐	assistant	assist, field officer	help
但	however	provided that	however
